CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Microscale Inc.                     , 2125551957       , Kuo            , Kee             
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Boards & Toys Co.                   , 3105552373       , Young          , Leslie          
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
